Generation N Sum GN.F GN.M PN1.F PN1.M Program Trait value Population h2 rep
20 1500 0.441590005875522 0.462505296044972 -0.02091529016945 0 0 PN1 T1 Ebv GN1 0.25 0
21 6000 0.299743468648377 0.689525526071207 -0.38978205742283 0 0 PN1 T1 Ebv GN1 0.25 0
22 6000 0.888419630553599 1.68939355016599 -0.80097391961239 0 0 PN1 T1 Ebv GN1 0.25 0
23 6000 1.51371597925666 2.41476066689473 -0.901044687638067 0 0 PN1 T1 Ebv GN1 0.25 0
24 6000 2.11702319546277 3.05094585772691 -0.933922662264137 0 0 PN1 T1 Ebv GN1 0.25 0
25 6000 2.82422308033549 3.84885811223781 -1.02463503190232 0 0 PN1 T1 Ebv GN1 0.25 0
26 6000 3.50685681869172 4.92257528105668 -1.41571846236496 0 0 PN1 T1 Ebv GN1 0.25 0
27 6000 4.25967559909341 5.87715942414802 -1.61748382505461 0 0 PN1 T1 Ebv GN1 0.25 0
28 6000 4.77056307363482 6.44552674513457 -1.67496367149975 0 0 PN1 T1 Ebv GN1 0.25 0
29 6000 5.38491851893411 6.87625106645422 -1.49133254752011 0 0 PN1 T1 Ebv GN1 0.25 0
30 6000 6.11498011674791 7.4133463248258 -1.29836620807788 0 0 PN1 T1 Ebv GN1 0.25 0
31 6000 6.6731726905219 8.06610409379867 -1.39293140327677 0 0 PN1 T1 Ebv GN1 0.25 0
32 6000 7.1142140332149 8.76776056904989 -1.65354653583499 0 0 PN1 T1 Ebv GN1 0.25 0
33 6000 7.36962799657837 9.61217028771063 -2.24254229113226 0 0 PN1 T1 Ebv GN1 0.25 0
34 6000 7.62314619808069 10.3026415868757 -2.67949538879502 0 0 PN1 T1 Ebv GN1 0.25 0
35 6000 7.97181365317458 10.7157866302114 -2.74397297703677 0 0 PN1 T1 Ebv GN1 0.25 0
36 6000 8.38474232041499 11.3318203169071 -2.94707799649207 0 0 PN1 T1 Ebv GN1 0.25 0
37 6000 8.80280013430569 12.0468138306838 -3.24401369637814 0 0 PN1 T1 Ebv GN1 0.25 0
38 6000 9.02871605242923 12.7221255775561 -3.69340952512687 0 0 PN1 T1 Ebv GN1 0.25 0
39 6000 9.40524306624087 13.2167498951738 -3.81150682893296 0 0 PN1 T1 Ebv GN1 0.25 0
40 6000 9.70629812012755 13.5673729773273 -3.8610748571997 0 0 PN1 T1 Ebv GN1 0.25 0
20 1500 -0.0959698186064732 0.00851030990690511 -0.104480128513378 0 0 PN1 T1 Tbv GN1 0.25 0
21 6000 0.688182985659621 0.21650012600138 0.471682859658242 0 0 PN1 T1 Tbv GN1 0.25 0
22 6000 1.32559588183275 0.613749085116367 0.711846796716386 0 0 PN1 T1 Tbv GN1 0.25 0
23 6000 1.89753992590425 0.908789819891382 0.98875010601287 0 0 PN1 T1 Tbv GN1 0.25 0
