Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
29 9000 4.85886752946237 4.60080102127316 -1.38971536392503 1.54401718573148 0.103764686382761 PN2 T1 Ebv PN2 0.25 0
30 9000 5.59575381154205 5.24510280138721 -1.32927823052023 1.49730590405707 0.18262333661799 PN2 T1 Ebv PN2 0.25 0
31 9000 6.02221901054145 5.90378266965434 -1.43086859212189 1.48867585927664 0.0606290737323488 PN2 T1 Ebv PN2 0.25 0
32 9000 6.52861920076635 6.6937978532893 -1.77676288789915 1.53704790319837 0.0745363321778336 PN2 T1 Ebv PN2 0.25 0
33 9000 7.05013351849283 7.49397493402591 -2.00216154719924 1.53534129958646 0.022978832079705 PN2 T1 Ebv PN2 0.25 0
34 9000 7.50101720131519 8.1541921793353 -2.27472598753017 1.50926254928718 0.112288460222871 PN2 T1 Ebv PN2 0.25 0
35 9000 7.86715572568987 8.83412208694595 -2.53747151303769 1.54926097229797 0.0212441794836382 PN2 T1 Ebv PN2 0.25 0
36 9000 8.30005569587323 9.50805060567512 -2.71848519894947 1.48936253442827 0.0211277547193111 PN2 T1 Ebv PN2 0.25 0
37 9000 8.74153336832731 9.99808885564371 -2.71024034822826 1.45218160461298 0.00150325629888774 PN2 T1 Ebv PN2 0.25 0
38 9000 8.98938326753507 10.4763133313928 -2.8919642806383 1.36969234360272 0.0353418731778526 PN2 T1 Ebv PN2 0.25 0
39 9000 9.29592323556239 10.9514267048394 -2.9638228322671 1.25214694133464 0.0561724216554251 PN2 T1 Ebv PN2 0.25 0
40 9000 9.60828516937332 11.337680102078 -2.995156807504 1.18906325262891 0.0766986221704419 PN2 T1 Ebv PN2 0.25 0
41 9000 10.0059598693267 11.7749505621212 -2.94663501323504 1.00840654881168 0.169237771628879 PN2 T1 Ebv PN2 0.25 0
20 4500 0.0319899395354903 0 0 -0.0035954250834634 0.0355853646189537 PN2 T1 Tbv PN2 0.25 0
22 9000 0.659500901426548 0.0989594976520675 0.42386405321657 0.0153454425233866 0.121331908034523 PN2 T1 Tbv PN2 0.25 0
